H,B,S,V,R,C_hat,runtime,sat,alpha
0.4,0.9888888888888889,1.0,0.17941176470588235,0.7797926237033954,0.039873927499239556,0.00014328956604003906,True,4.0
0.4,0.9986111111111111,0.9979166666666667,0.1810924369747899,0.7929608325905587,0.04026059442845232,0.0005438327789306641,True,4.0
0.4,0.9708333333333333,1.0,0.18151260504201683,0.7830774852754631,0.039531314439860854,0.0007021427154541016,True,4.0
0.4,1.0,1.0,0.17969187675070028,0.7697569643617301,0.040613911354749045,0.00037384033203125,True,4.0
0.4,0.9777777777777777,1.0,0.17759103641456583,0.7867199805729949,0.03887449075255751,0.0002658367156982422,True,4.0
0.4,0.9888888888888889,1.0,0.18179271708683473,0.7904789035317654,0.040161948209427756,0.0038127899169921875,False,4.0
0.4,0.9944444444444445,1.0,0.1781512605042017,0.7854061452471894,0.0396910330379009,0.0003833770751953125,True,4.0
0.4,0.9694444444444444,1.0,0.18137254901960784,0.7876484738839518,0.039343442977664976,0.00039768218994140625,True,4.0
0.4,0.9861111111111112,1.0,0.18011204481792717,0.7952124273940508,0.03957425659887008,0.0005362033843994141,True,4.0
0.4,0.9722222222222222,1.0,0.18123249299719887,0.7802921191796863,0.039588617987598135,0.00045800209045410156,True,4.0
0.4,0.9708333333333333,1.0,0.17619047619047618,0.7860612308660186,0.03830811369973056,0.0009188652038574219,True,4.0
0.4,0.9916666666666667,1.0,0.18123249299719887,0.7655876216850789,0.04071669384828699,0.001949310302734375,True,4.0
0.4,0.9958333333333333,1.0,0.17899159663865546,0.7778152922313326,0.040104459342376345,0.0021157264709472656,False,4.0
0.4,0.9375,1.0,0.17745098039215687,0.760807796962649,0.03779181323631894,0.00019788742065429688,True,4.0
0.4,0.9541666666666667,1.0,0.1784313725490196,0.7804173209749479,0.038250194585091914,0.00024700164794921875,True,4.0
0.4,0.9763888888888889,1.0,0.17913165266106443,0.7846248154652538,0.03920200105982095,0.0015249252319335938,True,4.0
0.4,0.9986111111111111,1.0,0.17913165266106443,0.7749092139625323,0.04031369305632201,0.002125978469848633,False,4.0
0.4,0.9763888888888889,1.0,0.17955182072829132,0.782821552018485,0.03933369708200824,0.00023031234741210938,True,4.0
0.4,0.9777777777777777,1.0,0.18165266106442576,0.7658093823610324,0.04023445371890151,0.00030112266540527344,True,4.0
0.4,0.9930555555555556,1.0,0.17787114845938376,0.7851451267804046,0.03957906479728566,0.00046515464782714844,True,4.0
0.4,0.9930555555555556,1.0,0.1792717086834734,0.7763534536776627,0.04008814131767917,0.0015659332275390625,True,4.0
0.4,0.9833333333333333,1.0,0.18011204481792717,0.7806681202274272,0.03978510758834607,0.00038886070251464844,True,4.0
0.4,0.9944444444444445,1.0,0.17633053221288517,0.7636096659722265,0.039770914378016664,0.00010895729064941406,True,4.0
0.4,0.9694444444444444,1.0,0.18095238095238098,0.7669242687900143,0.03971268897918767,0.0004737377166748047,True,4.0
0.4,0.9583333333333334,0.9979166666666667,0.1784313725490196,0.7797926237033954,0.03835064625199652,0.0014848709106445312,False,4.0
0.4,0.9819444444444444,1.0,0.1803921568627451,0.7885843691646167,0.03961458766564479,0.0012600421905517578,False,4.0
0.4,0.9875,1.0,0.1784313725490196,0.7635007108231167,0.039966184015580365,0.0013751983642578125,True,4.0
0.4,0.9833333333333333,1.0,0.17969187675070028,0.7478697997777273,0.0404371118558907,0.0007688999176025391,True,4.0
0.4,0.9986111111111111,1.0,0.17983193277310924,0.7637187180648509,0.04072807500872868,0.001191854476928711,True,4.0
0.4,0.9930555555555556,1.0,0.1788515406162465,0.7881823563485552,0.03972962150499369,0.00013709068298339844,True,4.0
0.4,0.9986111111111111,1.0,0.18249299719887954,0.7914378214774587,0.0406912340459722,0.0011599063873291016,True,4.0
0.4,0.9444444444444444,1.0,0.18011204481792717,0.777448156659891,0.03828090825874697,0.0011830329895019531,True,4.0
0.4,0.9986111111111111,1.0,0.17829131652661062,0.7656984517019048,0.04033388463148654,0.00022602081298828125,True,4.0
0.4,0.9680555555555556,1.0,0.17955182072829132,0.7664770910980246,0.039358821658827835,0.00019097328186035156,True,4.0
0.4,0.9791666666666666,1.0,0.17871148459383754,0.7632830906013972,0.03969602703178519,0.00031304359436035156,True,4.0
0.4,0.9555555555555556,1.0,0.17787114845938376,0.791713253597376,0.037944859362164005,0.0001647472381591797,True,4.0
0.4,0.9902777777777778,1.0,0.17773109243697477,0.7769603870975464,0.03961892611244652,0.0001239776611328125,True,4.0
0.4,0.9902777777777778,1.0,0.18067226890756302,0.7887186804690387,0.04000981023684103,0.0014510154724121094,True,4.0
0.4,0.9819444444444444,1.0,0.18165266106442576,0.7769603870975464,0.04015234714027909,0.0015628337860107422,True,4.0
0.4,0.9986111111111111,1.0,0.18081232492997198,0.7728924357754351,0.04073821907963843,0.0012021064758300781,True,4.0
0.4,0.9888888888888889,1.0,0.17969187675070028,0.773245894687997,0.040083624117283397,0.0006799697875976562,True,4.0
0.4,0.9416666666666667,1.0,0.18137254901960784,0.7704467531022614,0.0385874328695798,0.00047206878662109375,True,4.0
0.4,0.9875,1.0,0.18305322128851542,0.7702163873074612,0.04084586759992606,0.001062154769897461,True,4.0
0.4,0.9902777777777778,1.0,0.1781512605042017,0.7763534536776627,0.03972615662407636,0.0001480579376220703,True,4.0
0.4,0.9777777777777777,1.0,0.1799719887955182,0.762093030694977,0.03994627130499623,0.0014400482177734375,True,4.0
